owner,tokenId,blockNumber
0x14e15663428672cda90b88dc68f4102443202d83,1,13944029
0xe1675ed6a693cf2d796255a5cac80ee13c900c49,2,13947035
0x404d0180dbd6d926b9a51fcaa393cd8102bc7629,3,13947126
0xcf9ec3781bb904a6a7b350a4a4f9de619435c4cb,4,13947224
0x9df412a54229e902401fe8afc0207cd7ddbcd1b6,5,13947322
0x3b2cbbe6b4656548e995b26df0954d31c081e0e5,6,13947437
0x0ebfb4f869ace6c89ed108a88163836557aa8f29,7,13947682
0xfe5c555c3d8174d2447d394e6967cbe8cbfb5077,8,13947961
0x07268d7b3e591d2ed547840aeba16d4b70e77777,9,13948481
0x5a2c00a81a944bb928069e0b65629fd0adff11d9,10,13949055
0x4b7a38091d3c9aaad00ddb9134ad17d88cd96e49,11,13949339
0xfccb4231a2a67cfdfd36a593e5e04998a80a2d05,12,13949713
0xda4e08852a453f35e0d679523ff6d065e1373377,13,13949937
0x3383820dfc906cc59b989ff7e87e68f0aca78c77,14,13980721
0xfcf66b4119c32b28765e956bf93e64bc549c6503,15,13951032
0x6d79ade3f835cf7b24b74af9fda542fc941c0579,16,13951246
0xf370358251292a6f9c0c1c0c727ddad6887011f8,17,13951413
0x2408be9d2db8bdd32e3a66059030e1fa7ed48a8d,18,13951492
0x0cb711b2398665162e01754b340f46c1bad52e44,19,13951516
0x66077bd61170f36d4ddb543e0aad744a8da6fa93,20,14041410
0x3b9b7c9abca7cfdfe8b0e0a603dd154145b12781,21,13951959
0x839799ba1fb562dd3b5b25a7ef4351965e8ced9b,22,13997381
0x97341d987242f1868fac13e5b205fc10e283e70b,23,13952219
0x363fee947cdf5c398057cd0801b85550a7e77852,24,13953135
0xd489c2eca725ccccc60d9533456d6a2bab46ffe4,25,13953445
0xc1511da2e5d41f447fae2ce8e3b28bb0201102e3,26,13954349
0xbeb59bc20aea53b45bc778da701ab86e8a62ea79,27,13954619
0xaa9a546b305806ba73a8775338e2df114825ca38,28,13954676
0x315519c9a189a5f165bea224791a2e84b63ad71f,29,13975758
0x98aa4b7f656c351ac9da59d136a5e1b22324fb34,30,13975157
0x7ae567d5b26898ae34ecca8be1d9746ae6b9457f,31,14035181
0x05887f1c27e855df93b4d3747196fb9e07b68b15,32,14005413
0xc743f16786ee1b090152aac8e7c16ec30c7e3146,33,14111604
0xcaafee2535f44d5f6b8e00cabb966df6beec7a3f,34,13965614
0x5e600e7b573145ef3a4221c162e88f770f248993,35,13974623
0xef75c38d656de63f4b4962bac71af3e0eba886bb,36,13976696
0xb78e2867ecc8ca97d4fe502cac1f8f575dc88789,37,13980084
0x240e75a28257a48917af43e0a01630a025cd20f6,38,13985873
0x3923460456bd2716b208c6a1bd962f3b9be388d7,39,13988059
0x08b7ab9bbc3a07cf7f75b4acec5b536b7e040cfc,40,14095177
0xc0afc8fb125c293b2df655146365e278ff959982,41,13993111
0xdfb7251a0e34bcd2266f665c595555ed69ba832e,42,14071034
