owner,tokenId,blockNumber
0x55a0e991015d9d00067f6dfca8c0e1bebef68cd5,1,13087934
0x62fd32683425a6cabfdb32b4d99d1347c90e59c8,2,13088505
0x0035fc5208ef989c28d47e552e92b0c507d2b318,3,13088537
0x7a1057e6e9093da9c1d4c1d049609b6889fc4c67,4,13088538
0xe9b3c292904114e6e6f04a363ae4c0f800f3236d,5,13088539
0x7a1057e6e9093da9c1d4c1d049609b6889fc4c67,6,13088540
0x3d080421c9dd5fb387d6e3124f7e1c241ade9568,7,13088542
0x7e461d582a6286ec922b5863453d8c19c2aafe8e,8,13088542
0xef42c2f3c2c76de14287d82dbb68cbc0b0e42127,9,13088544
0xe9b3c292904114e6e6f04a363ae4c0f800f3236d,10,13088545
0xf9ab2ef128d856339ad2c258cdaa14a22c662a14,11,13129288
0x898b5632d5b7d818dfe03964055e804f04bea572,12,13088552
0xbf6ab411fd1f824e5ddb47d3695fc4b06edda08a,13,13088554
0xec3281124d4c2fca8a88e3076c1e7749cfecb7f2,14,13088554
0x44d6c9d5bce0831ec038d874dfb62464f40861b0,15,13088554
0xc3a83019431a92559f795ef0dfee1964dfc498d9,16,13088556
0xf37fd9185bb5657d7e57ddea268fe56c2458f675,17,13088572
0x08d816526bdc9d077dd685bd9fa49f58a5ab8e48,18,13088572
0x415b357871824e3816a95a1f802d3d00a6897c01,19,13088577
0xbf56ed4f9b58ca485563f25c17fb7183a743f288,20,13088577
0x1cbf903de5d688eda7d6d895ea2f0a8f2a521e99,21,13088577
0x7e9cbaf980c31a256b914cdf907e5a91ddaffd8d,22,13088577
0x71a15ac12ee91bf7c83d08506f3a3588143898b5,23,13088577
0x7084ebefc24d44a38ccbe2739268afefed27e2f9,24,13088579
0x87bb1f1723ac6c6b341a5df432f5a852d49ad12d,25,13088611
0xeed1edd7599f2991159e3fe71cc2010e9590037e,26,13088579
0x6efef34e81fd201edf18c7902948168e9ebb88ae,27,13088648
0x5e46884a77e0ac5f3126e30720bd5218814dc5e2,28,13088592
0x3934d6fff80869474465ef2c0c61344f3b98fee5,29,13089278
0x140713bbd82113e104c3a45661134f9764807922,30,13088594
0xc0d95fbb7bf19c7665a1c4042b683182b34e2150,31,13088628
0x3271e9956370dc263ed7cb8dcc3d8988c82b1e67,32,13088601
0xbfce30a2dd711f3ed252238e820a3c79afb5b4ea,33,13089292
0x3943f78dcc1b07fbd429b3a27b141176350eeb26,34,13088602
0x58f732dc82c765bf0e87e48fb86ad930a21a9602,35,13191979
0xc99df6b7a5130dce61ba98614a2457daa8d92d1c,36,13088616
0xb66266c0846034c117de7ef5bcc2d250d0d5cf66,37,13088604
0x2963b4311e07da3d9c50f2e1eb14659e42e3f4a9,38,13088604
0x2963b4311e07da3d9c50f2e1eb14659e42e3f4a9,39,13088604
0x800e2842fcc809dd293087260673c7125d7ca61d,40,13088606
0x0c626d209ee582042b9c5bd0238c398d5189cc51,41,13088609
0x0c626d209ee582042b9c5bd0238c398d5189cc51,42,13088611
0xbfce30a2dd711f3ed252238e820a3c79afb5b4ea,43,13089284
0xa79d18352e2f262cd7ac7504a00e8455156512d5,44,13088611
0x5c6bf690423a16d91356487ab6cbece5ca72c7de,45,13088614
0x012d46443cdd43ba624260e1c56872bf3df1613b,46,13088615
0xc0d95fbb7bf19c7665a1c4042b683182b34e2150,47,13088629
0x0a690b298f84d12414f5c8db7de1ece5a4605877,48,13088616
0x0a690b298f84d12414f5c8db7de1ece5a4605877,49,13088616
0xef9af9a202ab400863dd0615b216d9a8c9fc17f5,50,13088620
0x7285502ed0a0ed25f65941e480bda7114492acf9,51,13088623
0xc0a049c78a79ccf40f20697ac01753a2e3e8e01d,52,13088628
0xaf2358e98683265cbd3a48509123d390ddf54534,53,13088629
0xf7dbfe7dcfba501464008554e7c5edde8ab7b0ff,54,13088637
0x4fe992e566f8a28248acc4cb401b7ffd7df959b0,55,13088637
0xed625c9aba1245fa8e22eb1f1825881517a9dce7,56,13088637
0xf7dbfe7dcfba501464008554e7c5edde8ab7b0ff,57,13088638
0xcb46219ba114245c3a18761e4f7891f9c4bef8c0,58,13088642
0x04661f3a34414e9ff6d935b365fd751747581364,59,13088643
0x8a7f7c5b556b1298a74c0e89df46eba117a2f6c1,60,13090338
0x341a38b69a6b8f00fad4eed3a2b8528e3fed07ff,61,13088648
